행정동, 총인구(명), 남성인구(명) , 여성인구(명) ,유소년 인구(명),고령인구(명),세대당 인구(명),1인가구(명),단독 주택 비율(%),연립/다세대 주택 비율(%),아파트 비율(%),노후주택(30년↑)(%),사업체 수(개),종사자 수(명),사회연대경제(개),문화·체육시설(개),유치원/보육(개),사회복지시설(개),노인/장애인복지시설(개),기초연금수급(명),장애인 등록(명),외국인 등록(명),의료 종사자(명),병상수(개),병원수(개),녹지비율(%),공원면적(㎡),자동차 등록(대),보행자교통사고(건)
충장동,"5,909","2,865","3,044",176,"1,181","4,621",1.2,23.00%,6.60%,70.40%,33.00%,"5,758","20,427",92,58,3,27,1,733,251,83,496,574,64,2.50%,20.3,"2,585",34
동명동,"3,437","1,766","1,671",128,"1,023","2,439",1.4,80.10%,15.10%,4.80%,65.00%,"1,034","2,981",22,5,1,9,1,714,221,312,194,356,6,1.90%,0.3,"1,219",10
계림1동,"9,722","5,075","4,647","1,268","2,183","5,385",1.8,32.00%,5.20%,62.80%,25.70%,"1,568","4,638",20,16,6,27,1,"1,481",534,154,205,834,17,3.40%,1.2,"4,716",6
계림2동,"14,348","6,919","7,429","2,875","2,580","6,101",3.2,6.30%,0.70%,93.00%,6.70%,848,"1,864",10,4,10,25,1,"1,346",527,34,90,98,19,5.40%,2.1,"6,245",2
산수1동,"7,460","3,687","3,773",831,"2,022","4,113",1.9,42.00%,17.60%,40.40%,41.90%,"1,093","2,770",12,14,3,16, - ,"1,456",437,65,75,57,17,8.00%,6.3,"3,401",12
산수2동,"9,137","4,411","4,726",960,"2,915","4,473",2.4,26.90%,4.90%,68.20%,57.50%,658,"1,408",14,9,7,18,2,"1,653",256,73,102,129,12,35.80%,3.5,"4,058",4
지산1동,"3,909","2,035","1,874",263,"1,032","2,482",1.5,55.10%,18.90%,26.00%,43.10%,911,"2,256",16,19,1,6, - ,632,232,385,9, - ,2,2.20%, - ,"1,449",10
지산2동,"4,016","2,074","1,942",302,"1,152","2,351",1.7,33.70%,27.50%,38.80%,58.80%,643,"2,569",8,5,4,13,1,696,250,304,13, - ,5,73.70%, - ,"1,554",2
서남동,"3,495","1,766","1,729",110,697,"2,846",1.2,64.10%,35.90%,0.00%,44.70%,"1,658","12,690",26,16,4,14, - ,468,207,284,469,552,28,32.50%, - ,"1,443",15
학동,"6,955","3,262","3,693",934,"1,786","3,379",2.3,9.70%,4.50%,85.80%,13.20%,"1,092","7,390",17,5,4,19,1,920,364,82,"3,832","2,319",41,16.90%,26,"3,223",13
학운동,"10,304","4,821","5,483",928,"3,858","4,979",2.5,10.50%,5.60%,83.80%,60.10%,991,"3,019",5,28,4,27,3,"1,710",732,87,76,397,7,87.80%,0.9,"4,775",10
지원1동,"8,658","4,199","4,459","1,109","2,323","4,090",2.6,21.20%,6.40%,72.40%,34.70%,719,"2,404",10,3,8,26,1,"1,420",515,31,90,281,4,40.40%,0.4,"4,247",2
지원2동,"17,994","8,641","9,353","2,720","3,633","8,584",2.5,9.90%,2.60%,87.50%,15.20%,"1,094","3,947",5,12,17,52,8,"2,113",832,49,176,542,15,86.20%,3,"9,776",2
동구 평균,"8,103","3,963","4,140",970,"2,030","4,296",2,31.88%,11.65%,56.45%,38.43%,"1,390","5,259",20,15,6,21,2,"1,180",412,149,448,558,18,30.52%,6,"3,745",9
, 26. 7월 기준 , 26. 7월 기준 , 26. 7월 기준 , 26. 7월 기준 , 26. 7월 기준 , 26. 7월 기준 , 26. 7월 기준 , 24년 기준 , 24년 기준 , 24년 기준 , 24년 기준 , 24년 기준 , 24년 기준 ,26년 기준,24년 기준,24년 기준,24년 기준,24년 기준,25. 1월 기준,25. 1월 기준,26. 3월 기준,24년 기준,24년 기준,24년 기준,24년 기준,24년 기준,24년 기준,24년 기준
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://jumin.mois.go.kr/index.jsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
